Brand,Name,Status,Guarantee,Color,Capacity,Origin,Location,Price
Xiaomi,Redmi Turbo 3,Mới,>12 tháng,Màu khác,512 GB,Trung Quốc,"Phường Chánh Mỹ, Thành phố Thủ Dầu Một, Bình Dương",5.690.000
Xiaomi,Mi 11,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Màu khác,256 GB,Nước khác,"217 Thích Quảng Đức , P.Chánh Nghĩa , TP Thủ Dầu Một , BD",4.590.000
Oppo,F11,Mới,2 tháng,Xanh dương,256 GB,Việt Nam,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",1.250.000
Apple,iPhone 11,Đã sử dụng (chưa sửa chữa),7-12 tháng,Màu khác,64 GB,Mỹ,Phố Xã Đàn,5.000.000
Oppo,Reno6 Pro,Đã sử dụng (chưa sửa chữa),1,Còn bảo hành,Màu khác,256 GB,"217 Thích Quảng Đức , P.Chánh Nghĩa , TP Thủ Dầu Một , BD",5.090.000
Apple,iPhone 6 plus,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,64 GB,Mỹ,"Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",750.000
Samsung,Galaxy A6,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Vàng hồng,32 GB,Việt Nam,"Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",650.000
Hãng khác,Dòng khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đang cập nhật,In trên bao bì,,"Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",750.000
Samsung,Galaxy J7 Prime,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen,32 GB,Hàn Quốc,45bùi Thị Xuân,700.000
Xiaomi,Dòng khác,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh dương,128 GB,Việt Nam,"Phường 11, Quận 10, Tp Hồ Chí Minh",1.500.000
Xiaomi,POCO X4 GT,Đã sử dụng (chưa sửa chữa),4-6 tháng,Màu khác,256 GB,Nước khác,"Phường Tam Hiệp, Thành phố Biên Hòa, Đồng Nai",4.799.000
Apple,iPhone X,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,64 GB,Đang cập nhật,Quốc tế,"Phường 10, Quận 10, Tp Hồ Chí Minh",3.750.000
Vivo,IQ00 Neo,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,256 GB,Đang cập nhật,"Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",8.990.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,64 GB,Đang cập nhật,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",2.500.000
Xiaomi,Redmi K70,Đã sử dụng (chưa sửa chữa),>12 tháng,Trắng,256 GB,Trung Quốc,"Phường Kim Mã, Quận Ba Đình, Hà Nội",8.400.000
Apple,iPhone XR,Đã sử dụng (chưa sửa chữa),4-6 tháng,Trắng,128 GB,Mỹ,"Xã Đồng Luận, Huyện Thanh Thuỷ, Phú Thọ",4.350.000
