Brand,Name,Status,Guarantee,Color,Capacity,Origin,Location,Price
xiaomi,redmi turbo 3,moi,>12 thang,mau khac,512.0,trung quoc,binh duong,5690000
oppo,f11,moi,2 thang,xanh duong,256.0,viet nam,tp ho chi minh,1250000
apple,iphone 6 plus,da su dung chua sua chua,het bao hanh,vang,64.0,my,tp ho chi minh,750000
samsung,galaxy a6,da su dung chua sua chua,bao hanh hang,vang hong,32.0,viet nam,tp ho chi minh,650000
xiaomi,dong khac,da su dung chua sua chua,het bao hanh,xanh duong,128.0,viet nam,tp ho chi minh,1500000
xiaomi,poco x4 gt,da su dung chua sua chua,4-6 thang,mau khac,256.0,nuoc khac,dong nai,4799000
vivo,iq00 neo,da su dung chua sua chua,bao hanh hang,den,256.0,dang cap nhat,tp ho chi minh,8990000
apple,iphone xs max,da su dung chua sua chua,bao hanh hang,den,64.0,dang cap nhat,da nang,2500000
xiaomi,redmi k70,da su dung chua sua chua,>12 thang,trang,256.0,trung quoc,ha noi,8400000
apple,iphone xr,da su dung chua sua chua,4-6 thang,trang,128.0,my,phu tho,4350000
xiaomi,redmi note 9,da su dung chua sua chua,1 thang,xanh duong,128.0,trung quoc,ha noi,1420000
oppo,a92,moi,1 thang,xanh la,128.0,han quoc,binh duong,1850000
apple,iphone 11 pro max,da su dung qua sua chua,1 thang,xanh la,256.0,my,an giang,5600000
samsung,galaxy a54,da su dung chua sua chua,3 thang,xanh la,128.0,viet nam,tp ho chi minh,4100000
samsung,galaxy m51,da su dung chua sua chua,het bao hanh,trang,128.0,viet nam,tp ho chi minh,2300000
samsung,galaxy a34,da su dung chua sua chua,het bao hanh,mau khac,128.0,han quoc,tp ho chi minh,3200000
vivo,y21,da su dung qua sua chua,bao hanh hang,xanh duong,64.0,viet nam,tp ho chi minh,1150000
sony,xperia 1,da su dung chua sua chua,con bao hanh,mau khac,64.0,dang cap nhat,tp ho chi minh,2590000
samsung,galaxy s24 ultra,da su dung chua sua chua,con bao hanh,den,256.0,viet nam,da nang,20490000
apple,iphone 11 pro max,da su dung chua sua chua,bao hanh hang,mau khac,64.0,dang cap nhat,ha noi,5400000
samsung,galaxy m51,da su dung chua sua chua,het bao hanh,trang,128.0,viet nam,tp ho chi minh,2300000
samsung,galaxy a34,da su dung chua sua chua,het bao hanh,mau khac,128.0,han quoc,tp ho chi minh,3200000
vivo,y21,da su dung qua sua chua,bao hanh hang,xanh duong,64.0,viet nam,tp ho chi minh,1150000
samsung,galaxy s24 ultra,da su dung chua sua chua,>12 thang,xam,256.0,viet nam,tp ho chi minh,21490000
apple,iphone 14 pro max,da su dung chua sua chua,het bao hanh,tim,128.0,my,tp ho chi minh,16700000
samsung,galaxy note 20 ultra,da su dung chua sua chua,3 thang,mau khac,256.0,viet nam,can tho,6990000
apple,iphone 16 pro max,moi,>12 thang,mau khac,256.0,my,tp ho chi minh,33600000
apple,iphone 12 pro max,da su dung chua sua chua,bao hanh hang,xanh duong,128.0,dang cap nhat,ha noi,7550000
apple,iphone 12,da su dung chua sua chua,bao hanh hang,mau khac,128.0,dang cap nhat,dong nai,7799000
vivo,v25,da su dung chua sua chua,3 thang,mau khac,128.0,viet nam,lam dong,3500000
apple,iphone 8 plus,da su dung chua sua chua,het bao hanh,vang hong,64.0,my,tp ho chi minh,1650000
apple,iphone 11,da su dung qua sua chua,het bao hanh,den,128.0,my,tay ninh,2100000
samsung,galaxy a12,da su dung chua sua chua,het bao hanh,xanh duong,128.0,nuoc khac,ha noi,1200000
google,dong khac,da su dung chua sua chua,2 thang,den,128.0,dang cap nhat,can tho,4499000
vivo,dong khac,da su dung chua sua chua,1 thang,xanh duong,128.0,nuoc khac,soc trang,3650000
apple,iphone x,da su dung chua sua chua,het bao hanh,trang,64.0,nhat ban,ha noi,2200000
samsung,galaxy note 10,da su dung chua sua chua,bao hanh hang,vang hong,256.0,han quoc,ha noi,3688888
samsung,galaxy z fold5,da su dung chua sua chua,3 thang,xanh duong,512.0,han quoc,ha noi,17200000
xiaomi,dong khac,moi,con bao hanh,trang,256.0,nuoc khac,tp ho chi minh,5350000
apple,iphone 8 plus,da su dung chua sua chua,het bao hanh,den bong,64.0,my,binh duong,2600000
asus,rog phone 5,da su dung chua sua chua,bao hanh hang,mau khac,256.0,dang cap nhat,dong nai,7299000
xiaomi,13 pro,da su dung chua sua chua,het bao hanh,xanh la,128.0,trung quoc,tp ho chi minh,8500000
apple,iphone 15 pro max,moi,con bao hanh,bac,256.0,viet nam,ha noi,26000000
samsung,galaxy m54,da su dung chua sua chua,bao hanh hang,bac,256.0,dang cap nhat,binh duong,4600000
xiaomi,redmi note 12,da su dung chua sua chua,het bao hanh,den,128.0,viet nam,can tho,2550000
xiaomi,poco x4 gt,da su dung chua sua chua,con bao hanh,bac,128.0,viet nam,binh thuan,3389000
apple,iphone 13 pro,da su dung chua sua chua,het bao hanh,den,256.0,han quoc,binh duong,11000000
apple,iphone 16 pro max,da su dung chua sua chua,het bao hanh,vang,256.0,my,tp ho chi minh,24990000
samsung,galaxy s21 ultra,da su dung chua sua chua,bao hanh hang,den,128.0,viet nam,tp ho chi minh,6300000
apple,iphone 15,da su dung chua sua chua,4-6 thang,vang hong,128.0,my,tp ho chi minh,12500000
oppo,reno6 z,da su dung chua sua chua,bao hanh hang,den,128.0,dang cap nhat,tp ho chi minh,1750000
oppo,a3s,da su dung chua sua chua,het bao hanh,do,16.0,viet nam,can tho,650000
xiaomi,redmi turbo 3,da su dung chua sua chua,con bao hanh,den,256.0,nuoc khac,tp ho chi minh,5600000
xiaomi,redmi note 8 pro,da su dung chua sua chua,bao hanh hang,den,64.0,dang cap nhat,ha noi,1500000
huawei,y9 prime,da su dung chua sua chua,bao hanh hang,xanh duong,128.0,dang cap nhat,tp ho chi minh,1050000
apple,iphone 12 pro max,da su dung chua sua chua,3 thang,vang,256.0,my,tp ho chi minh,7350000
apple,iphone 7 plus,da su dung qua sua chua,het bao hanh,den,32.0,my,da nang,1200000
samsung,galaxy note 20,da su dung chua sua chua,het bao hanh,xanh la,256.0,viet nam,ha noi,3550000
apple,iphone 8,da su dung chua sua chua,1 thang,trang,256.0,my,soc trang,2350000
xiaomi,11t,da su dung chua sua chua,het bao hanh,trang,128.0,nuoc khac,dong thap,3700000
apple,iphone xs max,da su dung chua sua chua,1 thang,trang,256.0,my,tp ho chi minh,5600000
apple,iphone xs max,da su dung chua sua chua,het bao hanh,den,64.0,dang cap nhat,tp ho chi minh,4500000
apple,iphone xr,da su dung chua sua chua,3 thang,trang,128.0,my,tp ho chi minh,4800000
samsung,galaxy a12,da su dung chua sua chua,bao hanh hang,den,128.0,viet nam,tp ho chi minh,1650000
